t,V,I
63401.4551,2.760065373,-0.0022
63461.4551,2.760386203,-0.0022
63521.4551,2.760706822,-0.0022
63581.4551,2.761027229,-0.0022
63641.4551,2.761347425,-0.0022
63701.4551,2.761667409,-0.0022
63761.4551,2.761987183,-0.0022
63821.4551,2.762306745,-0.0022
63881.4551,2.762626097,-0.0022
63941.4551,2.762945238,-0.0022
64001.4551,2.763264168,-0.0022
64061.4551,2.763582888,-0.0022
64121.4551,2.763901398,-0.0022
64181.4551,2.764219698,-0.0022
64241.4551,2.764537788,-0.0022
64301.4551,2.764855667,-0.0022
64361.4551,2.765173338,-0.0022
64421.4551,2.765490798,-0.0022
64481.4551,2.765808049,-0.0022
64541.4551,2.766125091,-0.0022
64601.4551,2.766441924,-0.0022
64661.4551,2.766758548,-0.0022
64721.4551,2.767074963,-0.0022
64781.4551,2.767391169,-0.0022
64841.4551,2.767707166,-0.0022
64901.4551,2.768022956,-0.0022
64961.4551,2.768338537,-0.0022
65021.4551,2.768653909,-0.0022
65081.4551,2.768969074,-0.0022
65141.4551,2.769284031,-0.0022
65201.4551,2.76959878,-0.0022
65261.4551,2.769913322,-0.0022
65321.4551,2.770227656,-0.0022
65381.4551,2.770541782,-0.0022
65441.4551,2.770855702,-0.0022
65501.4551,2.771169415,-0.0022
65561.4551,2.77148292,-0.0022
65621.4551,2.771796219,-0.0022
65681.4551,2.772109311,-0.0022
65741.4551,2.772422197,-0.0022
65801.4551,2.772734876,-0.0022
65861.4551,2.77304735,-0.0022
65921.4551,2.773359617,-0.0022
65981.4551,2.773671678,-0.0022
66041.4551,2.773983533,-0.0022
66101.4551,2.774295183,-0.0022
66161.4551,2.774606627,-0.0022
66221.4551,2.774917866,-0.0022
66281.4551,2.7752289,-0.0022
66341.4551,2.775539728,-0.0022
66401.4551,2.775850352,-0.0022
66461.4551,2.776160771,-0.0022
66521.4551,2.776470985,-0.0022
66581.4551,2.776780994,-0.0022
66641.4551,2.777090799,-0.0022
66701.4551,2.7774004,-0.0022
66761.4551,2.777709796,-0.0022
66821.4551,2.778018989,-0.0022
66881.4551,2.778327978,-0.0022
66941.4551,2.778636763,-0.0022
67001.4551,2.778945344,-0.0022
67061.4551,2.779253722,-0.0022
67121.4551,2.779561897,-0.0022
67181.4551,2.779869868,-0.0022
67241.4551,2.780177637,-0.0022
67301.4551,2.780485202,-0.0022
67361.4551,2.780792565,-0.0022
67421.4551,2.781099725,-0.0022
67481.4551,2.781406682,-0.0022
67541.4551,2.781713437,-0.0022
67601.4551,2.78201999,-0.0022
67661.4551,2.782326341,-0.0022
67721.4551,2.78263249,-0.0022
67781.4551,2.782938437,-0.0022
67841.4551,2.783244182,-0.0022
67901.4551,2.783549726,-0.0022
67961.4551,2.783855068,-0.0022
68021.4551,2.784160209,-0.0022
68081.4551,2.784465149,-0.0022
68141.4551,2.784769888,-0.0022
68201.4551,2.785074426,-0.0022
68261.4551,2.785378763,-0.0022
68321.4551,2.7856829,-0.0022
68381.4551,2.785986836,-0.0022
68441.4551,2.786290572,-0.0022
68501.4551,2.786594108,-0.0022
68561.4551,2.786897443,-0.0022
68621.4551,2.787200579,-0.0022
68681.4551,2.787503514,-0.0022
68741.4551,2.78780625,-0.0022
68801.4551,2.788108787,-0.0022
68861.4551,2.788411124,-0.0022
68921.4551,2.788713262,-0.0022
68981.4551,2.789015201,-0.0022
69041.4551,2.78931694,-0.0022
69101.4551,2.789618481,-0.0022
69161.4551,2.789919823,-0.0022
69221.4551,2.790220967,-0.0022
69281.4551,2.790521912,-0.0022
69341.4551,2.790822658,-0.0022
69401.4551,2.791123207,-0.0022
69461.4551,2.791423557,-0.0022
69521.4551,2.791723709,-0.0022
69581.4551,2.792023664,-0.0022
69641.4551,2.792323421,-0.0022
69701.4551,2.79262298,-0.0022
69761.4551,2.792922342,-0.0022
69821.4551,2.793221507,-0.0022
69881.4551,2.793520474,-0.0022
69941.4551,2.793819245,-0.0022
70001.4551,2.794117818,-0.0022
70061.4551,2.794416195,-0.0022
70121.4551,2.794714376,-0.0022
70181.4551,2.795012359,-0.0022
70241.4551,2.795310147,-0.0022
70301.4551,2.795607738,-0.0022
70361.4551,2.795905133,-0.0022
70421.4551,2.796202332,-0.0022
70481.4551,2.796499335,-0.0022
70541.4551,2.796796143,-0.0022
70601.4551,2.797092755,-0.0022
70661.4551,2.797389171,-0.0022
70721.4551,2.797685393,-0.0022
70781.4551,2.797981419,-0.0022
70841.4551,2.79827725,-0.0022
70901.4551,2.798572886,-0.0022
70961.4551,2.798868327,-0.0022
71021.4551,2.799163574,-0.0022
71081.4551,2.799458626,-0.0022
71141.4551,2.799753484,-0.0022
71201.4551,2.800048147,-0.0022
71261.4551,2.800342617,-0.0022
71321.4551,2.800636892,-0.0022
71381.4551,2.800930973,-0.0022
71441.4551,2.801224861,-0.0022
71501.4551,2.801518555,-0.0022
71561.4551,2.801812056,-0.0022
71621.4551,2.802105363,-0.0022
71681.4551,2.802398477,-0.0022
71741.4551,2.802691398,-0.0022
71801.4551,2.802984126,-0.0022
71861.4551,2.803276661,-0.0022
71921.4551,2.803569004,-0.0022
71981.4551,2.803861154,-0.0022
72041.4551,2.804153111,-0.0022
72101.4551,2.804444876,-0.0022
72161.4551,2.804736449,-0.0022
72221.4551,2.80502783,-0.0022
72281.4551,2.805319019,-0.0022
72341.4551,2.805610016,-0.0022
72401.4551,2.805900821,-0.0022
72461.4551,2.806191435,-0.0022
72521.4551,2.806481857,-0.0022
72581.4551,2.806772089,-0.0022
72641.4551,2.807062129,-0.0022
72701.4551,2.807351978,-0.0022
72761.4551,2.807641636,-0.0022
72821.4551,2.807931103,-0.0022
72881.4551,2.808220379,-0.0022
72941.4551,2.808509466,-0.0022
73001.4551,2.808798361,-0.0022
73061.4551,2.809087067,-0.0022
73121.4551,2.809375582,-0.0022
73181.4551,2.809663907,-0.0022
73241.4551,2.809952042,-0.0022
73301.4551,2.810239988,-0.0022
73361.4551,2.810527744,-0.0022
73421.4551,2.81081531,-0.0022
73481.4551,2.811102688,-0.0022
73541.4551,2.811389875,-0.0022
73601.4551,2.811676874,-0.0022
73661.4551,2.811963684,-0.0022
73721.4551,2.812250305,-0.0022
73781.4551,2.812536737,-0.0022
73841.4551,2.81282298,-0.0022
73901.4551,2.813109035,-0.0022
73961.4551,2.813394902,-0.0022
74021.4551,2.81368058,-0.0022
74081.4551,2.81396607,-0.0022
74141.4551,2.814251372,-0.0022
74201.4551,2.814536487,-0.0022
74261.4551,2.814821413,-0.0022
74321.4551,2.815106152,-0.0022
74381.4551,2.815390704,-0.0022
74441.4551,2.815675068,-0.0022
74501.4551,2.815959245,-0.0022
74561.4551,2.816243235,-0.0022
74621.4551,2.816527038,-0.0022
74681.4551,2.816810654,-0.0022
74741.4551,2.817094083,-0.0022
74801.4551,2.817377326,-0.0022
74861.4551,2.817660382,-0.0022
74921.4551,2.817943252,-0.0022
74981.4551,2.818225935,-0.0022
75041.4551,2.818508433,-0.0022
75101.4551,2.818790744,-0.0022
75161.4551,2.81907287,-0.0022
75221.4551,2.819354809,-0.0022
75281.4551,2.819636564,-0.0022
75341.4551,2.819918132,-0.0022
75401.4551,2.820199516,-0.0022
75461.4551,2.820480714,-0.0022
75521.4551,2.820761727,-0.0022
75581.4551,2.821042555,-0.0022
75641.4551,2.821323198,-0.0022
75701.4551,2.821603657,-0.0022
75761.4551,2.82188393,-0.0022
75821.4551,2.82216402,-0.0022
75881.4551,2.822443925,-0.0022
75941.4551,2.822723645,-0.0022
76001.4551,2.823003182,-0.0022
76061.4551,2.823282534,-0.0022
76121.4551,2.823561703,-0.0022
76181.4551,2.823840688,-0.0022
76241.4551,2.824119489,-0.0022
76301.4551,2.824398107,-0.0022
76361.4551,2.824676542,-0.0022
76421.4551,2.824954793,-0.0022
76481.4551,2.825232861,-0.0022
76541.4551,2.825510746,-0.0022
76601.4551,2.825788448,-0.0022
76661.4551,2.826065967,-0.0022
76721.4551,2.826343303,-0.0022
76781.4551,2.826620458,-0.0022
76841.4551,2.826897429,-0.0022
76901.4551,2.827174219,-0.0022
76961.4551,2.827450826,-0.0022
77021.4551,2.827727251,-0.0022
77081.4551,2.828003494,-0.0022
77141.4551,2.828279556,-0.0022
77201.4551,2.828555436,-0.0022
77261.4551,2.828831134,-0.0022
77321.4551,2.829106651,-0.0022
77381.4551,2.829381986,-0.0022
77441.4551,2.82965714,-0.0022
77501.4551,2.829932114,-0.0022
77561.4551,2.830206906,-0.0022
77621.4551,2.830481517,-0.0022
77681.4551,2.830755948,-0.0022
77741.4551,2.831030198,-0.0022
77801.4551,2.831304268,-0.0022
77861.4551,2.831578157,-0.0022
77921.4551,2.831851866,-0.0022
77981.4551,2.832125395,-0.0022
78041.4551,2.832398744,-0.0022
78101.4551,2.832671914,-0.0022
78161.4551,2.832944903,-0.0022
78221.4551,2.833217713,-0.0022
78281.4551,2.833490343,-0.0022
78341.4551,2.833762794,-0.0022
78401.4551,2.834035066,-0.0022
78461.4551,2.834307158,-0.0022
78521.4551,2.834579072,-0.0022
78581.4551,2.834850806,-0.0022
78641.4551,2.835122362,-0.0022
78701.4551,2.835393739,-0.0022
78761.4551,2.835664938,-0.0022
78821.4551,2.835935958,-0.0022
78881.4551,2.8362068,-0.0022
78941.4551,2.836477464,-0.0022
79001.4551,2.836747949,-0.0022
79061.4551,2.837018257,-0.0022
79121.4551,2.837288387,-0.0022
79181.4551,2.837558339,-0.0022
79241.4551,2.837828114,-0.0022
79301.4551,2.838097711,-0.0022
79361.4551,2.83836713,-0.0022
79421.4551,2.838636373,-0.0022
79481.4551,2.838905438,-0.0022
79541.4551,2.839174327,-0.0022
79601.4551,2.839443038,-0.0022
79661.4551,2.839711573,-0.0022
79721.4551,2.839979931,-0.0022
79781.4551,2.840248113,-0.0022
79841.4551,2.840516118,-0.0022
79901.4551,2.840783947,-0.0022
79961.4551,2.8410516,-0.0022
80021.4551,2.841319076,-0.0022
80081.4551,2.841586377,-0.0022
80141.4551,2.841853502,-0.0022
80201.4551,2.842120451,-0.0022
80261.4551,2.842387225,-0.0022
80321.4551,2.842653823,-0.0022
80381.4551,2.842920246,-0.0022
80441.4551,2.843186494,-0.0022
80501.4551,2.843452566,-0.0022
80561.4551,2.843718464,-0.0022
80621.4551,2.843984186,-0.0022
80681.4551,2.844249734,-0.0022
80741.4551,2.844515107,-0.0022
80801.4551,2.844780306,-0.0022
80861.4551,2.84504533,-0.0022
80921.4551,2.84531018,-0.0022
80981.4551,2.845574856,-0.0022
81041.4551,2.845839358,-0.0022
81101.4551,2.846103686,-0.0022
81161.4551,2.84636784,-0.0022
81221.4551,2.84663182,-0.0022
81281.4551,2.846895627,-0.0022
81341.4551,2.84715926,-0.0022
81401.4551,2.84742272,-0.0022
81461.4551,2.847686007,-0.0022
81521.4551,2.84794912,-0.0022
81581.4551,2.848212061,-0.0022
81641.4551,2.848474828,-0.0022
81701.4551,2.848737423,-0.0022
81761.4551,2.848999845,-0.0022
81821.4551,2.849262095,-0.0022
81881.4551,2.849524172,-0.0022
81941.4551,2.849786077,-0.0022
82001.4551,2.850047809,-0.0022
82061.4551,2.85030937,-0.0022
82121.4551,2.850570759,-0.0022
82181.4551,2.850831975,-0.0022
82241.4551,2.85109302,-0.0022
82301.4551,2.851353894,-0.0022
82361.4551,2.851614595,-0.0022
82421.4551,2.851875126,-0.0022
82481.4551,2.852135485,-0.0022
82541.4551,2.852395673,-0.0022
82601.4551,2.85265569,-0.0022
82661.4551,2.852915536,-0.0022
82721.4551,2.853175211,-0.0022
82781.4551,2.853434715,-0.0022
82841.4551,2.853694049,-0.0022
82901.4551,2.853953212,-0.0022
82961.4551,2.854212205,-0.0022
83021.4551,2.854471028,-0.0022
83081.4551,2.854729681,-0.0022
83141.4551,2.854988163,-0.0022
83201.4551,2.855246476,-0.0022
83261.4551,2.855504619,-0.0022
83321.4551,2.855762592,-0.0022
83381.4551,2.856020395,-0.0022
83441.4551,2.856278029,-0.0022
83501.4551,2.856535494,-0.0022
83561.4551,2.856792789,-0.0022
83621.4551,2.857049916,-0.0022
83681.4551,2.857306873,-0.0022
83741.4551,2.857563662,-0.0022
83801.4551,2.857820281,-0.0022
83861.4551,2.858076732,-0.0022
83921.4551,2.858333015,-0.0022
83981.4551,2.858589129,-0.0022
84041.4551,2.858845075,-0.0022
84101.4551,2.859100852,-0.0022
84161.4551,2.859356461,-0.0022
84221.4551,2.859611903,-0.0022
84281.4551,2.859867176,-0.0022
84341.4551,2.860122282,-0.0022
84401.4551,2.86037722,-0.0022
84461.4551,2.86063199,-0.0022
84521.4551,2.860886593,-0.0022
84581.4551,2.861141029,-0.0022
84641.4551,2.861395298,-0.0022
84701.4551,2.861649399,-0.0022
84761.4551,2.861903334,-0.0022
84821.4551,2.862157101,-0.0022
