t,V,I
47943.37983,2.838522351,-0.01
48003.37983,2.838960341,-0.01
48063.37983,2.839397863,-0.01
48123.37983,2.839834916,-0.01
48183.37983,2.840271502,-0.01
48243.37983,2.840707622,-0.01
48303.37983,2.841143275,-0.01
48363.37983,2.841578462,-0.01
48423.37983,2.842013184,-0.01
48483.37983,2.842447441,-0.01
48543.37983,2.842881234,-0.01
48603.37983,2.843314563,-0.01
48663.37983,2.84374743,-0.01
48723.37983,2.844179833,-0.01
48783.37983,2.844611775,-0.01
48843.37983,2.845043255,-0.01
48903.37983,2.845474273,-0.01
48963.37983,2.845904832,-0.01
49023.37983,2.84633493,-0.01
49083.37983,2.846764569,-0.01
49143.37983,2.847193749,-0.01
49203.37983,2.847622471,-0.01
49263.37983,2.848050735,-0.01
49323.37983,2.848478541,-0.01
49383.37983,2.848905891,-0.01
49443.37983,2.849332785,-0.01
49503.37983,2.849759223,-0.01
49563.37983,2.850185205,-0.01
49623.37983,2.850610733,-0.01
49683.37983,2.851035807,-0.01
49743.37983,2.851460427,-0.01
49803.37983,2.851884594,-0.01
49863.37983,2.852308308,-0.01
49923.37983,2.85273157,-0.01
49983.37983,2.853154381,-0.01
50043.37983,2.85357674,-0.01
50103.37983,2.85399865,-0.01
50163.37983,2.854420109,-0.01
50223.37983,2.854841118,-0.01
50283.37983,2.855261679,-0.01
50343.37983,2.855681791,-0.01
50403.37983,2.856101455,-0.01
50463.37983,2.856520672,-0.01
50523.37983,2.856939442,-0.01
50583.37983,2.857357766,-0.01
50643.37983,2.857775644,-0.01
50703.37983,2.858193076,-0.01
50763.37983,2.858610063,-0.01
50823.37983,2.859026607,-0.01
50883.37983,2.859442706,-0.01
50943.37983,2.859858362,-0.01
51003.37983,2.860273575,-0.01
51063.37983,2.860688346,-0.01
51123.37983,2.861102675,-0.01
51183.37983,2.861516563,-0.01
51243.37983,2.861930011,-0.01
51303.37983,2.862343017,-0.01
51363.37983,2.862755585,-0.01
51423.37983,2.863167713,-0.01
51483.37983,2.863579402,-0.01
51543.37983,2.863990653,-0.01
51603.37983,2.864401466,-0.01
51663.37983,2.864811842,-0.01
51723.37983,2.865221781,-0.01
51783.37983,2.865631285,-0.01
51843.37983,2.866040352,-0.01
51903.37983,2.866448984,-0.01
51963.37983,2.866857182,-0.01
52023.37983,2.867264945,-0.01
52083.37983,2.867672275,-0.01
52143.37983,2.868079171,-0.01
52203.37983,2.868485635,-0.01
52263.37983,2.868891667,-0.01
52323.37983,2.869297267,-0.01
52383.37983,2.869702435,-0.01
52443.37983,2.870107173,-0.01
52503.37983,2.870511481,-0.01
52563.37983,2.870915359,-0.01
52623.37983,2.871318808,-0.01
52683.37983,2.871721829,-0.01
52743.37983,2.872124421,-0.01
52803.37983,2.872526585,-0.01
52863.37983,2.872928322,-0.01
52923.37983,2.873329632,-0.01
52983.37983,2.873730516,-0.01
53043.37983,2.874130975,-0.01
53103.37983,2.874531008,-0.01
53163.37983,2.874930616,-0.01
53223.37983,2.8753298,-0.01
53283.37983,2.87572856,-0.01
53343.37983,2.876126897,-0.01
53403.37983,2.876524812,-0.01
53463.37983,2.876922303,-0.01
